dataset,sweep,rank,threshold,f1,precision,recall,tp,fp,fn
clipshots,coarse,30,0.3133000135421753,0.023205023205023205,0.7264957264957265,0.011790817034262727,85,32,7124
clipshots,coarse,31,0.3167000114917755,0.021857923497267756,0.7207207207207207,0.011097239561659037,80,31,7129
clipshots,coarse,32,0.3199999928474426,0.019422787580358362,0.696078431372549,0.009848800110972396,71,31,7138
clipshots,coarse,33,0.32499998807907104,0.017803341550260202,0.6989247311827957,0.009016507143847968,65,28,7144
clipshots,coarse,34,0.33000001311302185,0.014005217630097488,0.6891891891891891,0.0070744902205576365,51,23,7158
clipshots,coarse,35,0.33500000834465027,0.012371134020618556,0.6818181818181818,0.006242197253433208,45,21,7164
clipshots,coarse,36,0.3400000035762787,0.01155115511551155,0.6666666666666666,0.005826050769870994,42,21,7167
clipshots,coarse,37,0.3449999988079071,0.010734929810074319,0.6842105263157895,0.005409904286308781,39,18,7170
clipshots,coarse,38,0.3499999940395355,0.008821502412129565,0.6956521739130435,0.004438895824663615,32,14,7177
clipshots,coarse,39,0.36000001430511475,0.008275862068965517,0.7317073170731707,0.004161464835622139,30,11,7179
clipshots,coarse,40,0.3700000047683716,0.0063544688492885755,0.7666666666666667,0.003190456373976973,23,7,7186
clipshots,coarse,41,0.3799999952316284,0.0058059165053912076,0.84,0.002913025384935497,21,4,7188
clipshots,coarse,42,0.4000000059604645,0.003874896208137282,0.8235294117647058,0.0019420169232903315,14,3,7195
clipshots,coarse,43,0.38999998569488525,0.0038743600387436006,0.7777777777777778,0.0019420169232903315,14,4,7195
clipshots,coarse,44,0.5,0.0,0.0,0.0,0,0,7209
clipshots,coarse,45,0.6000000238418579,0.0,0.0,0.0,0,0,7209
clipshots,coarse,46,0.699999988079071,0.0,0.0,0.0,0,0,7209
clipshots,coarse,47,0.800000011920929,0.0,0.0,0.0,0,0,7209
clipshots,coarse,48,0.8999999761581421,0.0,0.0,0.0,0,0,7209
clipshots,fine,1,0.135,0.758673274876096,0.6999648258881463,0.8281315022888056,5970,2559,1239
clipshots,fine,2,0.137,0.7585767121540621,0.7019945709902041,0.8250797614093495,5948,2525,1261
clipshots,fine,3,0.136,0.7584802392923057,0.7007290686735654,0.8266056318490775,5959,2545,1250
clipshots,fine,4,0.118,0.7584241823587711,0.685170677112479,0.8492162574559579,6122,2813,1087
clipshots,fine,5,0.121,0.7583592293349907,0.6869721878166873,0.8463032320710223,6101,2780,1108
clipshots,fine,6,0.138,0.7583301417081578,0.7023767293366442,0.8239700374531835,5940,2517,1269
