rank,mode,temperature,sigma,threshold,min_distance,prominence,f1,precision,recall,tp,fp,fn,key
575,peak,0.35,2.5,0.138,16,0.001,0.7342434745702765,0.749133949191686,0.71993341656263,5190,1738,2019,peak|T=0.35|sigma=2.5|thr=0.138|dist=16|prom=0.001
576,peak,0.35,2.5,0.136,0,0.001,0.7341824440619622,0.7288135593220338,0.7396310167845749,5332,1984,1877,peak|T=0.35|sigma=2.5|thr=0.136|dist=0|prom=0.001
577,peak,0.35,2.5,0.135,0,0.001,0.7341441627155912,0.7273965141612201,0.7410181717297822,5342,2002,1867,peak|T=0.35|sigma=2.5|thr=0.135|dist=0|prom=0.001
578,peak,0.35,2.5,0.134,0,0.001,0.7341147439851944,0.725609756097561,0.7428214731585518,5355,2025,1854,peak|T=0.35|sigma=2.5|thr=0.134|dist=0|prom=0.001
579,peak,0.35,2.0,0.15,0,0.001,0.734001336005344,0.7078984666924365,0.7621029268969344,5494,2267,1715,peak|T=0.35|sigma=2|thr=0.15|dist=0|prom=0.001
580,peak,0.35,2.5,0.139,16,0.001,0.7339618629049408,0.750507393447376,0.7181301151338605,5177,1721,2032,peak|T=0.35|sigma=2.5|thr=0.139|dist=16|prom=0.001
581,peak,0.38780461844336944,1.5,0.118,0,0.0,0.7339000815185747,0.6324134470647266,0.8741850464696906,6302,3663,907,peak|T=0.38780462|sigma=1.5|thr=0.118|dist=0|prom=0
582,peak,0.35,2.5,0.15,16,0.0,0.7335297075939363,0.7608047690014903,0.7081425995283673,5105,1605,2104,peak|T=0.35|sigma=2.5|thr=0.15|dist=16|prom=0
583,peak,0.35,2.5,0.137,0,0.001,0.7335219821933882,0.7299450549450549,0.7371341378832016,5314,1966,1895,peak|T=0.35|sigma=2.5|thr=0.137|dist=0|prom=0.001
584,peak,0.35,2.5,0.138,0,0.001,0.7332595462091865,0.7313371050089692,0.7351921209599113,5300,1947,1909,peak|T=0.35|sigma=2.5|thr=0.138|dist=0|prom=0.001
585,peak,0.35,2.5,0.139,0,0.001,0.7331854111773679,0.7329821156245667,0.7333888195311417,5287,1926,1922,peak|T=0.35|sigma=2.5|thr=0.139|dist=0|prom=0.001
586,peak,0.35,2.0,0.15,24,0.001,0.733017157204631,0.7371300322625894,0.728949923706478,5255,1874,1954,peak|T=0.35|sigma=2|thr=0.15|dist=24|prom=0.001
587,peak,0.38780461844336944,1.5,0.121,0,0.001,0.7326732673267327,0.6397804928556637,0.8571230406436399,6179,3479,1030,peak|T=0.38780462|sigma=1.5|thr=0.121|dist=0|prom=0.001
588,peak,0.38780461844336944,1.5,0.118,0,0.001,0.7314366662731673,0.6365971437377992,0.8594812040504924,6196,3537,1013,peak|T=0.38780462|sigma=1.5|thr=0.118|dist=0|prom=0.001
589,peak,0.35,2.5,0.135,24,0.001,0.7311032028469753,0.7507674316620377,0.7124427798585102,5136,1705,2073,peak|T=0.35|sigma=2.5|thr=0.135|dist=24|prom=0.001
590,peak,0.35,2.5,0.134,24,0.001,0.7310942270822978,0.7489089322083212,0.714107365792759,5148,1726,2061,peak|T=0.35|sigma=2.5|thr=0.134|dist=24|prom=0.001
591,peak,0.35,2.5,0.136,24,0.001,0.7310187495544307,0.751980052801408,0.7111943404078236,5127,1691,2082,peak|T=0.35|sigma=2.5|thr=0.136|dist=24|prom=0.001
592,peak,0.38780461844336944,2.5,0.15,24,0.001,0.7309541150764749,0.7695138782395338,0.6960743515050631,5018,1503,2191,peak|T=0.38780462|sigma=2.5|thr=0.15|dist=24|prom=0.001
593,peak,0.5,1.5,0.139,0,0.001,0.7307871448532837,0.629677937192736,0.8705784436121515,6276,3691,933,peak|T=0.5|sigma=1.5|thr=0.139|dist=0|prom=0.001
594,peak,0.5,1.5,0.139,0,0.0,0.730516324546858,0.6214007782101167,0.8861145789984741,6388,3892,821,peak|T=0.5|sigma=1.5|thr=0.139|dist=0|prom=0
595,peak,0.35,2.5,0.137,24,0.001,0.7302608074312255,0.7530209254347185,0.708836177000971,5110,1676,2099,peak|T=0.35|sigma=2.5|thr=0.137|dist=24|prom=0.001
596,peak,0.35,2.5,0.138,24,0.001,0.7298632490871338,0.7542172240307783,0.7070328755722014,5097,1661,2112,peak|T=0.35|sigma=2.5|thr=0.138|dist=24|prom=0.001
597,peak,0.5,1.5,0.138,0,0.001,0.7297768479776847,0.6279627962796279,0.8709945900957137,6279,3720,930,peak|T=0.5|sigma=1.5|thr=0.138|dist=0|prom=0.001
598,peak,0.35,2.5,0.139,24,0.001,0.7296987087517933,0.7556083791412865,0.7055070051324733,5086,1645,2123,peak|T=0.35|sigma=2.5|thr=0.139|dist=24|prom=0.001
599,segment,0.5,1.5,0.121,0,0.0,0.7294628075583719,0.6198098564221963,0.8862532944929948,6389,3919,820,segment|T=0.5|sigma=1.5|thr=0.121|dist=0|prom=0
600,peak,0.5,1.5,0.138,0,0.0,0.7293996804382562,0.6195831313620941,0.8865307254820364,6391,3924,818,peak|T=0.5|sigma=1.5|thr=0.138|dist=0|prom=0
601,peak,0.5,1.5,0.137,0,0.001,0.7291291988164993,0.6266453928998803,0.8716881675683174,6284,3744,925,peak|T=0.5|sigma=1.5|thr=0.137|dist=0|prom=0.001
602,peak,0.35,2.5,0.15,24,0.0,0.7287519976754322,0.7649839865792283,0.6957969205160216,5016,1541,2193,peak|T=0.35|sigma=2.5|thr=0.15|dist=24|prom=0
603,peak,0.5,1.5,0.137,0,0.0,0.7286397812713603,0.6181501884604234,0.88722430295464,6396,3951,813,peak|T=0.5|sigma=1.5|thr=0.137|dist=0|prom=0
604,peak,0.5,1.5,0.136,0,0.001,0.7285052143684821,0.6255098995124864,0.8721043140518796,6287,3764,922,peak|T=0.5|sigma=1.5|thr=0.136|dist=0|prom=0.001
605,peak,0.35,1.5,0.1,0,0.0,0.7284798799145547,0.6239121835443038,0.8751560549313359,6309,3803,900,peak|T=0.35|sigma=1.5|thr=0.1|dist=0|prom=0
606,peak,0.5,1.5,0.135,0,0.001,0.7280828655749089,0.6246028594122319,0.8726591760299626,6291,3781,918,peak|T=0.5|sigma=1.5|thr=0.135|dist=0|prom=0.001
607,peak,0.5,1.5,0.136,0,0.0,0.7279035377090206,0.6168900028921238,0.8876404494382022,6399,3974,810,peak|T=0.5|sigma=1.5|thr=0.136|dist=0|prom=0
608,peak,0.35,2.5,0.15,0,0.001,0.7278576024018872,0.7508849557522124,0.706200582605077,5091,1689,2118,peak|T=0.35|sigma=2.5|thr=0.15|dist=0|prom=0.001
609,segment,0.5,1.5,0.118,0,0.0,0.7276656241114586,0.616615265998458,0.8875017339436815,6398,3978,811,segment|T=0.5|sigma=1.5|thr=0.118|dist=0|prom=0
610,peak,0.5,1.5,0.134,0,0.001,0.7274408925371408,0.623587710604559,0.8727978915244833,6292,3798,917,peak|T=0.5|sigma=1.5|thr=0.134|dist=0|prom=0.001
611,peak,0.5,1.5,0.135,0,0.0,0.7274069866515194,0.6159099653712966,0.8881953114162852,6403,3993,806,peak|T=0.5|sigma=1.5|thr=0.135|dist=0|prom=0
612,peak,0.5,1.5,0.1,24,0.0,0.7269598243427691,0.6352416511097283,0.84963240393952,6125,3517,1084,peak|T=0.5|sigma=1.5|thr=0.1|dist=24|prom=0
613,peak,0.35,2.5,0.15,16,0.001,0.7269017779073156,0.765617805065234,0.691912886669441,4988,1527,2221,peak|T=0.35|sigma=2.5|thr=0.15|dist=16|prom=0.001
614,peak,0.5,1.5,0.134,0,0.0,0.7265713637395054,0.6146463192244938,0.888334026910806,6404,4015,805,peak|T=0.5|sigma=1.5|thr=0.134|dist=0|prom=0
615,peak,0.35,1.5,0.1,0,0.001,0.7265606733691838,0.6278411960804121,0.8621167984463864,6215,3684,994,peak|T=0.35|sigma=1.5|thr=0.1|dist=0|prom=0.001
616,peak,0.5,1.5,0.1,24,0.001,0.7259795057263412,0.641935827736915,0.835344708003884,6022,3359,1187,peak|T=0.5|sigma=1.5|thr=0.1|dist=24|prom=0.001
